Date,Number
2011-08-30,137.85714285714286
2011-09-06,144.0
2011-09-13,144.14285714285714
2011-09-20,137.14285714285714
2011-09-27,141.42857142857142
2011-10-04,155.71428571428572
2011-10-11,145.57142857142858
2011-10-18,167.14285714285714
2011-10-25,156.42857142857142
2011-11-01,156.42857142857142
2011-11-08,152.42857142857142
2011-11-15,170.14285714285714
2011-11-22,160.85714285714286
2011-11-29,164.14285714285714
2011-12-06,151.71428571428572
2011-12-13,160.57142857142858
2011-12-20,156.57142857142858
2011-12-27,181.71428571428572
2012-01-03,177.42857142857142
2012-01-10,194.42857142857142
2012-01-17,210.71428571428572
2012-01-24,195.85714285714286
2012-01-31,204.14285714285714
2012-02-07,189.42857142857142
2012-02-14,190.14285714285714
2012-02-21,195.42857142857142
2012-02-28,176.57142857142858
2012-03-06,175.57142857142858
2012-03-13,176.57142857142858
2012-03-20,178.14285714285714
2012-03-27,175.0
2012-04-03,141.57142857142858
2012-04-10,164.0
2012-04-17,166.28571428571428
2012-04-24,156.71428571428572
2012-05-01,155.71428571428572
2012-05-08,152.14285714285714
2012-05-15,145.85714285714286
2012-05-22,155.28571428571428
2012-05-29,160.57142857142858
2012-06-05,156.42857142857142
2012-06-12,168.14285714285714
2012-06-19,152.42857142857142
2012-06-26,159.85714285714286
2012-07-03,151.42857142857142
2012-07-10,184.28571428571428
2012-07-17,164.85714285714286
2012-07-24,167.85714285714286
2012-07-31,148.85714285714286
2012-08-07,159.0
2012-08-14,136.57142857142858
2012-08-21,157.85714285714286
2012-08-28,136.28571428571428
2012-09-04,148.42857142857142
2012-09-11,146.0
2012-09-18,147.0
2012-09-25,160.71428571428572
2012-10-02,149.28571428571428
2012-10-09,148.85714285714286
2012-10-16,148.71428571428572
2012-10-23,153.71428571428572
2012-10-30,159.0
2012-11-06,157.14285714285714
2012-11-13,157.28571428571428
2012-11-20,169.85714285714286
2012-11-27,168.14285714285714
2012-12-04,160.0
2012-12-11,167.0
2012-12-18,176.0
2012-12-25,183.85714285714286
2013-01-01,163.57142857142858
2013-01-08,180.0
2013-01-15,191.0
2013-01-22,186.0
2013-01-29,189.42857142857142
2013-02-05,181.0
2013-02-12,179.14285714285714
2013-02-19,184.71428571428572
2013-02-26,167.71428571428572
2013-03-05,185.42857142857142
2013-03-12,180.85714285714286
2013-03-19,173.85714285714286
2013-03-26,168.42857142857142
2013-04-02,175.28571428571428
2013-04-09,163.85714285714286
2013-04-16,165.42857142857142
2013-04-23,164.42857142857142
2013-04-30,172.0
2013-05-07,151.0
2013-05-14,166.0
2013-05-21,169.14285714285714
2013-05-28,161.28571428571428
2013-06-04,154.28571428571428
2013-06-11,155.28571428571428
2013-06-18,159.28571428571428
2013-06-25,157.14285714285714
2013-07-02,147.0
2013-07-09,155.28571428571428
2013-07-16,146.85714285714286
2013-07-23,153.57142857142858
2013-07-30,149.42857142857142
2013-08-06,162.57142857142858
2013-08-13,169.71428571428572
2013-08-20,159.14285714285714
2013-08-27,152.14285714285714
2013-09-03,148.42857142857142
2013-09-10,152.71428571428572
2013-09-17,143.28571428571428
2013-09-24,163.42857142857142
2013-10-01,155.42857142857142
2013-10-08,177.14285714285714
2013-10-15,175.85714285714286
2013-10-22,170.0
2013-10-29,182.42857142857142
2013-11-05,166.85714285714286
2013-11-12,168.28571428571428
2013-11-19,179.42857142857142
2013-11-26,165.42857142857142
2013-12-03,180.85714285714286
2013-12-10,188.0
2013-12-17,188.85714285714286
2013-12-24,217.14285714285714
2013-12-31,233.57142857142858
2014-01-07,234.28571428571428
2014-01-14,222.57142857142858
2014-01-21,209.57142857142858
2014-01-28,197.71428571428572
2014-02-04,208.85714285714286
2014-02-11,193.28571428571428
2014-02-18,193.71428571428572
2014-02-25,183.14285714285714
2014-03-04,196.0
2014-03-11,184.85714285714286
2014-03-18,185.28571428571428
2014-03-25,177.57142857142858
2014-04-01,191.42857142857142
2014-04-08,183.14285714285714
2014-04-15,183.0
2014-04-22,167.85714285714286
2014-04-29,177.14285714285714
2014-05-06,177.0
2014-05-13,168.42857142857142
2014-05-20,173.0
2014-05-27,183.57142857142858
2014-06-03,164.85714285714286
2014-06-10,167.71428571428572
2014-06-17,178.85714285714286
2014-06-24,173.57142857142858
2014-07-01,169.28571428571428
2014-07-08,176.57142857142858
2014-07-15,165.85714285714286
2014-07-22,172.57142857142858
2014-07-29,177.57142857142858
2014-08-05,174.28571428571428
2014-08-12,182.28571428571428
2014-08-19,170.28571428571428
2014-08-26,166.57142857142858
2014-09-02,173.14285714285714
2014-09-09,164.71428571428572
2014-09-16,170.14285714285714
2014-09-23,178.14285714285714
2014-09-30,173.28571428571428
2014-10-07,176.28571428571428
2014-10-14,179.71428571428572
2014-10-21,184.85714285714286
2014-10-28,181.0
2014-11-04,193.0
2014-11-11,183.28571428571428
2014-11-18,174.85714285714286
2014-11-25,197.85714285714286
2014-12-02,196.14285714285714
2014-12-09,181.57142857142858
2014-12-16,197.57142857142858
2014-12-23,194.57142857142858
2014-12-30,201.0
2015-01-06,214.57142857142858
2015-01-13,205.0
2015-01-20,198.57142857142858
2015-01-27,211.14285714285714
2015-02-03,202.28571428571428
2015-02-10,202.14285714285714
2015-02-17,223.42857142857142
2015-02-24,213.85714285714286
2015-03-03,213.28571428571428
2015-03-10,224.42857142857142
2015-03-17,223.85714285714286
2015-03-24,220.42857142857142
2015-03-31,217.57142857142858
2015-04-07,205.85714285714286
2015-04-14,197.28571428571428
2015-04-21,210.42857142857142
2015-04-28,197.14285714285714
2015-05-05,192.57142857142858
2015-05-12,182.42857142857142
2015-05-19,180.85714285714286
2015-05-26,177.57142857142858
2015-06-02,166.28571428571428
2015-06-09,181.14285714285714
2015-06-16,175.28571428571428
2015-06-23,164.14285714285714
2015-06-30,178.28571428571428
2015-07-07,181.42857142857142
2015-07-14,170.71428571428572
2015-07-21,175.14285714285714
2015-07-28,199.28571428571428
2015-08-04,189.0
2015-08-11,189.0
2015-08-18,184.57142857142858
2015-08-25,171.14285714285714
2015-09-01,178.71428571428572
